document_order,depth,node_type,node_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
32,6,introduction,KD20nkGJ,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,KD20nkGJ,Introduction,,,
33,6,introduction,WnSEeJlR,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,WnSEeJlR,Introduction,,,
34,6,introduction,OpGj8kd4,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,OpGj8kd4,Introduction,,,
35,6,introduction,XXB7H8hL,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,XXB7H8hL,Introduction,,,
36,6,introduction,TEYMLvwL,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,TEYMLvwL,Introduction,,,
37,6,introduction,Tqa8x5VK,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,Tqa8x5VK,Introduction,,,
38,6,introduction,eZ3gygVh,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,eZ3gygVh,Introduction,,,
39,6,introduction,MXaWCypl,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,MXaWCypl,Introduction,,,
40,6,introduction,vrjK0ca6,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,vrjK0ca6,Introduction,,,
41,6,introduction,gqpANPKU,Introduction,section-variables-and-evaluating-expressions.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-variables-and-evaluating-expressions,Variables and Evaluating Expressions,exercises,bVTWwfNo,,introduction,gqpANPKU,Introduction,,,
