collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,1,1,fs-id2294519,Use Division Notation,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,2,1,fs-id2375603,Model Division of Whole Numbers,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,3,1,fs-id1861858,Divide Whole Numbers,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,4,1,fs-id2594193,Translate Word Phrases to Math Notation,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,5,1,fs-id2472595,Divide Whole Numbers in Applications,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,6,1,fs-id1334797,Key Concepts,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,7,1,fs-id2220943,Section Exercises,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,8,2,fs-id2261764,Practice Makes Perfect,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,9,2,fs-id1781483,Writing Exercises,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,10,2,fs-id1562530,Everyday Math,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,11,2,eip-148,Self Check,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,12,1,fs-id2146627,Chapter Review Exercises,PREALG/modules/m81256/index.cnxml
prealgebra-2e,1,Whole Numbers,Whole Numbers,6,m81256,Divide Whole Numbers,section,13,2,fs-id2266415,Introduction to Whole Numbers,PREALG/modules/m81256/index.cnxml
