document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
29,5,exercises,ORCCAm7bREECGAT,,,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,,,,,,
30,6,introduction,ORCCAeph27fzFg3,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAeph27fzFg3,Introduction,,,
31,6,introduction,ORCCAvh7xcTUx3S,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAvh7xcTUx3S,Introduction,,,
32,6,introduction,ORCCAtrEYcWejEJ,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAtrEYcWejEJ,Introduction,,,
33,6,introduction,ORCCAmSyt5LgY4g,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAmSyt5LgY4g,Introduction,,,
34,6,introduction,ORCCASttfURHenC,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCASttfURHenC,Introduction,,,
35,6,introduction,ORCCAbf86VBdOOD,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAbf86VBdOOD,Introduction,,,
36,6,introduction,ORCCAcnjPSRjlph,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAcnjPSRjlph,Introduction,,,
37,6,introduction,ORCCAkiNBY67iPS,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAkiNBY67iPS,Introduction,,,
38,6,introduction,ORCCAUQdphcEULE,,Introduction,section-variables-and-evaluating-expressions.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAsI65eCrAfx,Variables and Evaluating Expressions,exercises,ORCCAm7bREECGAT,,introduction,ORCCAUQdphcEULE,Introduction,,,
